User,grammar,date,tag,link,hashtag,time,CMI Score
Aarif,,2022-07-28T04:26:50.592Z,"[{'key': '@Mahendr83278547', 'value': 'u', 'index': 0}, {'key': '@IndiaToday', 'value': 'u', 'index': 1}, {'key': 'Teri', 'value': 'h', 'index': 2}, {'key': 'kimat', 'value': 'h', 'index': 3}, {'key': 'dokodi', 'value': 'u', 'index': 4}, {'key': 'ki', 'value': 'h', 'index': 5}, {'key': 'ho', 'value': 'u', 'index': 6}, {'key': 'gayi', 'value': 'h', 'index': 7}, {'key': '...', 'value': 'u', 'index': 8}, {'key': 'amit', 'value': 'h', 'index': 9}, {'key': 'shah', 'value': 'e', 'index': 10}, {'key': 'will', 'value': 'e', 'index': 11}, {'key': 'capture', 'value': 'e', 'index': 12}, {'key': 'telegana', 'value': 'u', 'index': 13}, {'key': 'soon', 'value': 'e', 'index': 14}, {'key': '...', 'value': 'u', 'index': 15}, {'key': 'kcr', 'value': 'u', 'index': 16}, {'key': 'will', 'value': 'u', 'index': 17}, {'key': 'resign', 'value': 'e', 'index': 18}, {'key': '...', 'value': 'u', 'index': 19}]",[],[],26.154,50.0
Aarif,e,2022-07-28T04:30:39.527Z,"[{'key': '@ImkHimansh', 'value': 'u', 'index': 0}, {'key': '@thakur', 'value': 'u', 'index': 1}, {'key': 'I', 'value': 'e', 'index': 2}, {'key': 'will', 'value': 'e', 'index': 3}, {'key': 'say', 'value': 'e', 'index': 4}, {'key': 'it', 'value': 'h', 'index': 5}, {'key': 'better', 'value': 'e', 'index': 6}, {'key': '..', 'value': 'u', 'index': 7}, {'key': 'jb', 'value': 'u', 'index': 8}, {'key': 'ek', 'value': 'h', 'index': 9}, {'key': 'Constitutional', 'value': 'e', 'index': 10}, {'key': 'CM', 'value': 'e', 'index': 11}, {'key': 'ek', 'value': 'h', 'index': 12}, {'key': 'Rapist', 'value': 'e', 'index': 13}, {'key': 'Baba', 'value': 'h', 'index': 14}, {'key': 'ka', 'value': 'u', 'index': 15}, {'key': 'support', 'value': 'e', 'index': 16}, {'key': 'leta', 'value': 'h', 'index': 17}, {'key': 'h', 'value': 'u', 'index': 18}, {'key': 'usse', 'value': 'h', 'index': 19}, {'key': '....', 'value': 'u', 'index': 20}, {'key': 'Sorry', 'value': 'e', 'index': 21}, {'key': 'ye', 'value': 'u', 'index': 22}, {'key': 'toh', 'value': 'h', 'index': 23}, {'key': 'BJP', 'value': 'u', 'index': 24}, {'key': 'aur', 'value': 'h', 'index': 25}, {'key': 'inke', 'value': 'h', 'index': 26}, {'key': 'jaisi', 'value': 'h', 'index': 27}, {'key': 'bhot', 'value': 'h', 'index': 28}, {'key': 'sari', 'value': 'h', 'index': 29}, {'key': 'political', 'value': 'e', 'index': 30}, {'key': 'party', 'value': 'h', 'index': 31}, {'key': 'ki', 'value': 'h', 'index': 32}, {'key': 'dukhti', 'value': 'u', 'index': 33}, {'key': 'nabj', 'value': 'u', 'index': 34}, {'key': 'h', 'value': 'u', 'index': 35}]",[],[],2.86,41.666666666666664
Aarif,e,2022-07-28T04:31:39.262Z,"[{'key': 'Sehwag', 'value': 'u', 'index': 0}, {'key': 'sir', 'value': 'e', 'index': 1}, {'key': 'said', 'value': 'e', 'index': 2}, {'key': 'India', 'value': 'e', 'index': 3}, {'key': 'and', 'value': 'e', 'index': 4}, {'key': 'Newzealand', 'value': 'e', 'index': 5}, {'key': 'mein', 'value': 'h', 'index': 6}, {'key': 'semiFinal', 'value': 'e', 'index': 7}, {'key': 'ho', 'value': 'u', 'index': 8}, {'key': 'jaayega', 'value': 'h', 'index': 9}, {'key': 'toh', 'value': 'h', 'index': 10}, {'key': 'India', 'value': 'e', 'index': 11}, {'key': 'jeetegi', 'value': 'h', 'index': 12}, {'key': 'par', 'value': 'u', 'index': 13}, {'key': 'sir', 'value': 'e', 'index': 14}, {'key': 'India', 'value': 'e', 'index': 15}, {'key': 'worldcup', 'value': 'e', 'index': 16}, {'key': 'mein', 'value': 'h', 'index': 17}, {'key': 'kabhi', 'value': 'h', 'index': 18}, {'key': 'Nz', 'value': 'u', 'index': 19}, {'key': 'se', 'value': 'u', 'index': 20}, {'key': 'nhi', 'value': 'h', 'index': 21}, {'key': 'jeeti', 'value': 'h', 'index': 22}, {'key': '#Askstar', 'value': 'u', 'index': 23}, {'key': '#StarSports', 'value': 'u', 'index': 24}, {'key': '#sehwag', 'value': 'u', 'index': 25}, {'key': '@virendersehwag', 'value': 'u', 'index': 26}, {'key': '@harbhajan_singh', 'value': 'u', 'index': 27}]",[],"['#Askstar', '#StarSports', '#sehwag']",23.521,44.44444444444444
Aarif,e,2022-07-28T04:36:21.123Z,"[{'key': '#UnlockYourInnerPower', 'value': 'u', 'index': 0}, {'key': '@Gurmeetramrahim', 'value': 'u', 'index': 1}, {'key': 'Good', 'value': 'e', 'index': 2}, {'key': 'morning', 'value': 'e', 'index': 3}, {'key': 'guru', 'value': 'u', 'index': 4}, {'key': 'g', 'value': 'u', 'index': 5}, {'key': 'Bless', 'value': 'e', 'index': 6}, {'key': 'us', 'value': 'u', 'index': 7}, {'key': 'for', 'value': 'e', 'index': 8}, {'key': 'Sewa', 'value': 'u', 'index': 9}, {'key': 'Simran', 'value': 'h', 'index': 10}, {'key': 'and', 'value': 'e', 'index': 11}, {'key': 'Parmarth', 'value': 'u', 'index': 12}, {'key': 'Dhan', 'value': 'h', 'index': 13}, {'key': 'Dhan', 'value': 'h', 'index': 14}, {'key': 'Satguru', 'value': 'h', 'index': 15}, {'key': 'Tera', 'value': 'h', 'index': 16}, {'key': 'Hi', 'value': 'u', 'index': 17}, {'key': 'Aasra', 'value': 'h', 'index': 18}]",[],['#UnlockYourInnerPower'],12.57,45.45454545454546
Aarif,e,2022-07-28T04:36:35.785Z,"[{'key': '@AskAnshul', 'value': 'u', 'index': 0}, {'key': ""'Jai"", 'value': 'u', 'index': 1}, {'key': 'Shri', 'value': 'h', 'index': 2}, {'key': ""Ram'"", 'value': 'u', 'index': 3}, {'key': 'is', 'value': 'u', 'index': 4}, {'key': 'slogan', 'value': 'e', 'index': 5}, {'key': 'of', 'value': 'e', 'index': 6}, {'key': 'Hooliganism', 'value': 'u', 'index': 7}, {'key': '.', 'value': 'u', 'index': 8}, {'key': 'But', 'value': 'e', 'index': 9}, {'key': ""'Kashmir"", 'value': 'u', 'index': 10}, {'key': 'mei', 'value': 'h', 'index': 11}, {'key': 'agar', 'value': 'h', 'index': 12}, {'key': 'rehna', 'value': 'h', 'index': 13}, {'key': 'hai', 'value': 'h', 'index': 14}, {'key': 'Allah-O-Akbar', 'value': 'u', 'index': 15}, {'key': 'kehna', 'value': 'h', 'index': 16}, {'key': ""hai'"", 'value': 'u', 'index': 17}, {'key': 'is', 'value': 'e', 'index': 18}, {'key': 'slogan', 'value': 'e', 'index': 19}, {'key': 'of', 'value': 'e', 'index': 20}, {'key': 'Revolution', 'value': 'e', 'index': 21}, {'key': '.', 'value': 'u', 'index': 22}]",[],[],3.151,46.15384615384615
Aarif,e,2022-07-28T16:08:16.353Z,"[{'key': '@ImkHimansh', 'value': 'u', 'index': 0}, {'key': '@thakur', 'value': 'u', 'index': 1}, {'key': 'I', 'value': 'e', 'index': 2}, {'key': 'will', 'value': 'e', 'index': 3}, {'key': 'say', 'value': 'e', 'index': 4}, {'key': 'it', 'value': 'e', 'index': 5}, {'key': 'better', 'value': 'e', 'index': 6}, {'key': '..', 'value': 'u', 'index': 7}, {'key': 'jb', 'value': 'h', 'index': 8}, {'key': 'ek', 'value': 'h', 'index': 9}, {'key': 'Constitutional', 'value': 'e', 'index': 10}, {'key': 'CM', 'value': 'e', 'index': 11}, {'key': 'ek', 'value': 'h', 'index': 12}, {'key': 'Rapist', 'value': 'e', 'index': 13}, {'key': 'Baba', 'value': 'h', 'index': 14}, {'key': 'ka', 'value': 'u', 'index': 15}, {'key': 'support', 'value': 'e', 'index': 16}, {'key': 'leta', 'value': 'h', 'index': 17}, {'key': 'h', 'value': 'u', 'index': 18}, {'key': 'usse', 'value': 'h', 'index': 19}, {'key': '....', 'value': 'u', 'index': 20}, {'key': 'Sorry', 'value': 'e', 'index': 21}, {'key': 'ye', 'value': 'u', 'index': 22}, {'key': 'toh', 'value': 'h', 'index': 23}, {'key': 'BJP', 'value': 'e', 'index': 24}, {'key': 'aur', 'value': 'h', 'index': 25}, {'key': 'inke', 'value': 'h', 'index': 26}, {'key': 'jaisi', 'value': 'h', 'index': 27}, {'key': 'bhot', 'value': 'h', 'index': 28}, {'key': 'sari', 'value': 'h', 'index': 29}, {'key': 'political', 'value': 'e', 'index': 30}, {'key': 'party', 'value': 'e', 'index': 31}, {'key': 'ki', 'value': 'h', 'index': 32}, {'key': 'dukhti', 'value': 'u', 'index': 33}, {'key': 'nabj', 'value': 'u', 'index': 34}, {'key': 'h', 'value': 'u', 'index': 35}]",[],[],5.379,50.0
tanay_1907,h,2022-07-29T08:59:31.219Z,"[{'key': '@Mahendr83278547', 'value': 'u', 'index': 0}, {'key': '@IndiaToday', 'value': 'u', 'index': 1}, {'key': 'Teri', 'value': 'h', 'index': 2}, {'key': 'kimat', 'value': 'h', 'index': 3}, {'key': 'dokodi', 'value': 'h', 'index': 4}, {'key': 'ki', 'value': 'h', 'index': 5}, {'key': 'ho', 'value': 'h', 'index': 6}, {'key': 'gayi', 'value': 'h', 'index': 7}, {'key': '...', 'value': 'u', 'index': 8}, {'key': 'amit', 'value': 'e', 'index': 9}, {'key': 'shah', 'value': 'e', 'index': 10}, {'key': 'will', 'value': 'e', 'index': 11}, {'key': 'capture', 'value': 'e', 'index': 12}, {'key': 'telegana', 'value': 'e', 'index': 13}, {'key': 'soon', 'value': 'e', 'index': 14}, {'key': '...', 'value': 'u', 'index': 15}, {'key': 'kcr', 'value': 'e', 'index': 16}, {'key': 'will', 'value': 'e', 'index': 17}, {'key': 'resign', 'value': 'e', 'index': 18}, {'key': '...', 'value': 'u', 'index': 19}]",[],[],4.231,40.0
tanay_1907,h,2022-07-29T09:02:22.597Z,"[{'key': '@ImkHimansh', 'value': 'u', 'index': 0}, {'key': '@thakur', 'value': 'u', 'index': 1}, {'key': 'I', 'value': 'e', 'index': 2}, {'key': 'will', 'value': 'e', 'index': 3}, {'key': 'say', 'value': 'e', 'index': 4}, {'key': 'it', 'value': 'e', 'index': 5}, {'key': 'better', 'value': 'e', 'index': 6}, {'key': '..', 'value': 'u', 'index': 7}, {'key': 'jb', 'value': 'h', 'index': 8}, {'key': 'ek', 'value': 'h', 'index': 9}, {'key': 'Constitutional', 'value': 'e', 'index': 10}, {'key': 'CM', 'value': 'e', 'index': 11}, {'key': 'ek', 'value': 'h', 'index': 12}, {'key': 'Rapist', 'value': 'e', 'index': 13}, {'key': 'Baba', 'value': 'h', 'index': 14}, {'key': 'ka', 'value': 'h', 'index': 15}, {'key': 'support', 'value': 'e', 'index': 16}, {'key': 'leta', 'value': 'h', 'index': 17}, {'key': 'h', 'value': 'h', 'index': 18}, {'key': 'usse', 'value': 'h', 'index': 19}, {'key': '....', 'value': 'u', 'index': 20}, {'key': 'Sorry', 'value': 'e', 'index': 21}, {'key': 'ye', 'value': 'h', 'index': 22}, {'key': 'toh', 'value': 'h', 'index': 23}, {'key': 'BJP', 'value': 'e', 'index': 24}, {'key': 'aur', 'value': 'h', 'index': 25}, {'key': 'inke', 'value': 'h', 'index': 26}, {'key': 'jaisi', 'value': 'h', 'index': 27}, {'key': 'bhot', 'value': 'h', 'index': 28}, {'key': 'sari', 'value': 'h', 'index': 29}, {'key': 'political', 'value': 'e', 'index': 30}, {'key': 'party', 'value': 'e', 'index': 31}, {'key': 'ki', 'value': 'h', 'index': 32}, {'key': 'dukhti', 'value': 'h', 'index': 33}, {'key': 'nabj', 'value': 'h', 'index': 34}, {'key': 'h', 'value': 'h', 'index': 35}]",[],[],1.172,40.625
tanay_1907,h,2022-07-29T09:06:38.038Z,"[{'key': 'Sehwag', 'value': 'e', 'index': 0}, {'key': 'sir', 'value': 'e', 'index': 1}, {'key': 'said', 'value': 'e', 'index': 2}, {'key': 'India', 'value': 'e', 'index': 3}, {'key': 'and', 'value': 'e', 'index': 4}, {'key': 'Newzealand', 'value': 'e', 'index': 5}, {'key': 'mein', 'value': 'h', 'index': 6}, {'key': 'semiFinal', 'value': 'e', 'index': 7}, {'key': 'ho', 'value': 'h', 'index': 8}, {'key': 'jaayega', 'value': 'h', 'index': 9}, {'key': 'toh', 'value': 'h', 'index': 10}, {'key': 'India', 'value': 'e', 'index': 11}, {'key': 'jeetegi', 'value': 'h', 'index': 12}, {'key': 'par', 'value': 'h', 'index': 13}, {'key': 'sir', 'value': 'e', 'index': 14}, {'key': 'India', 'value': 'e', 'index': 15}, {'key': 'worldcup', 'value': 'e', 'index': 16}, {'key': 'mein', 'value': 'h', 'index': 17}, {'key': 'kabhi', 'value': 'h', 'index': 18}, {'key': 'Nz', 'value': 'e', 'index': 19}, {'key': 'se', 'value': 'h', 'index': 20}, {'key': 'nhi', 'value': 'h', 'index': 21}, {'key': 'jeeti', 'value': 'h', 'index': 22}, {'key': '#Askstar', 'value': 'u', 'index': 23}, {'key': '#StarSports', 'value': 'u', 'index': 24}, {'key': '#sehwag', 'value': 'u', 'index': 25}, {'key': '@virendersehwag', 'value': 'u', 'index': 26}, {'key': '@harbhajan_singh', 'value': 'u', 'index': 27}]",[],"['#Askstar', '#StarSports', '#sehwag']",7.378,47.82608695652174
tanay_1907,e,2022-07-29T09:07:31.745Z,"[{'key': '@arvindgunasekar', 'value': 'u', 'index': 0}, {'key': 'Hehe', 'value': 'e', 'index': 1}, {'key': '.....', 'value': 'u', 'index': 2}, {'key': 'hope', 'value': 'e', 'index': 3}, {'key': 'is', 'value': 'e', 'index': 4}, {'key': 'what', 'value': 'e', 'index': 5}, {'key': 'keeps', 'value': 'e', 'index': 6}, {'key': 'world', 'value': 'e', 'index': 7}, {'key': 'alive', 'value': 'e', 'index': 8}, {'key': '.', 'value': 'u', 'index': 9}, {'key': 'Use', 'value': 'h', 'index': 10}, {'key': 'to', 'value': 'h', 'index': 11}, {'key': 'hum', 'value': 'h', 'index': 12}, {'key': 'song', 'value': 'e', 'index': 13}, {'key': 'from', 'value': 'e', 'index': 14}, {'key': 'all', 'value': 'e', 'index': 15}, {'key': 'time', 'value': 'e', 'index': 16}, {'key': 'classic', 'value': 'e', 'index': 17}, {'key': 'movie', 'value': 'e', 'index': 18}, {'key': '‘Jane', 'value': 'h', 'index': 19}, {'key': 'Bhi', 'value': 'h', 'index': 20}, {'key': 'Do', 'value': 'h', 'index': 21}, {'key': 'Yaro’,', 'value': 'h', 'index': 22}, {'key': '‘Hum', 'value': 'h', 'index': 23}, {'key': 'honge', 'value': 'h', 'index': 24}, {'key': 'kaamyaab', 'value': 'h', 'index': 25}, {'key': 'ek', 'value': 'h', 'index': 26}, {'key': 'din', 'value': 'h', 'index': 27}, {'key': '...', 'value': 'u', 'index': 28}, {'key': '’', 'value': 'u', 'index': 29}, {'key': 'in', 'value': 'e', 'index': 30}, {'key': 'my', 'value': 'e', 'index': 31}, {'key': 'childhood', 'value': 'e', 'index': 32}, {'key': '.', 'value': 'u', 'index': 33}, {'key': 'Still', 'value': 'e', 'index': 34}, {'key': 'do', 'value': 'h', 'index': 35}, {'key': '.', 'value': 'u', 'index': 36}]",[],[],5.369,43.333333333333336
tanay_1907,h,2022-07-29T09:08:51.225Z,"[{'key': '#UnlockYourInnerPower', 'value': 'u', 'index': 0}, {'key': '@Gurmeetramrahim', 'value': 'u', 'index': 1}, {'key': 'Good', 'value': 'e', 'index': 2}, {'key': 'morning', 'value': 'e', 'index': 3}, {'key': 'guru', 'value': 'h', 'index': 4}, {'key': 'g', 'value': 'h', 'index': 5}, {'key': 'Bless', 'value': 'e', 'index': 6}, {'key': 'us', 'value': 'e', 'index': 7}, {'key': 'for', 'value': 'e', 'index': 8}, {'key': 'Sewa', 'value': 'h', 'index': 9}, {'key': 'Simran', 'value': 'h', 'index': 10}, {'key': 'and', 'value': 'e', 'index': 11}, {'key': 'Parmarth', 'value': 'h', 'index': 12}, {'key': 'Dhan', 'value': 'h', 'index': 13}, {'key': 'Dhan', 'value': 'h', 'index': 14}, {'key': 'Satguru', 'value': 'h', 'index': 15}, {'key': 'Tera', 'value': 'h', 'index': 16}, {'key': 'Hi', 'value': 'h', 'index': 17}, {'key': 'Aasra', 'value': 'h', 'index': 18}]",[],['#UnlockYourInnerPower'],5.82,35.29411764705882
tanay_1907,h,2022-07-29T09:09:28.957Z,"[{'key': '@AskAnshul', 'value': 'u', 'index': 0}, {'key': ""'Jai"", 'value': 'h', 'index': 1}, {'key': 'Shri', 'value': 'h', 'index': 2}, {'key': ""Ram'"", 'value': 'h', 'index': 3}, {'key': 'is', 'value': 'e', 'index': 4}, {'key': 'slogan', 'value': 'e', 'index': 5}, {'key': 'of', 'value': 'e', 'index': 6}, {'key': 'Hooliganism', 'value': 'e', 'index': 7}, {'key': '.', 'value': 'u', 'index': 8}, {'key': 'But', 'value': 'e', 'index': 9}, {'key': ""'Kashmir"", 'value': 'e', 'index': 10}, {'key': 'mei', 'value': 'h', 'index': 11}, {'key': 'agar', 'value': 'h', 'index': 12}, {'key': 'rehna', 'value': 'h', 'index': 13}, {'key': 'hai', 'value': 'h', 'index': 14}, {'key': 'Allah-O-Akbar', 'value': 'h', 'index': 15}, {'key': 'kehna', 'value': 'h', 'index': 16}, {'key': ""hai'"", 'value': 'h', 'index': 17}, {'key': 'is', 'value': 'e', 'index': 18}, {'key': 'slogan', 'value': 'e', 'index': 19}, {'key': 'of', 'value': 'e', 'index': 20}, {'key': 'Revolution', 'value': 'e', 'index': 21}, {'key': '.', 'value': 'u', 'index': 22}]",[],[],2.623,50.0
tanay_1907,h,2022-07-29T09:19:59.544Z,"[{'key': '@narendramodi', 'value': 'u', 'index': 0}, {'key': 'great', 'value': 'e', 'index': 1}, {'key': 'congratulations', 'value': 'e', 'index': 2}, {'key': 'Sir', 'value': 'e', 'index': 3}, {'key': ',', 'value': 'u', 'index': 4}, {'key': 'ap', 'value': 'h', 'index': 5}, {'key': 'ko', 'value': 'h', 'index': 6}, {'key': 'Bharat', 'value': 'h', 'index': 7}, {'key': 'Mata', 'value': 'h', 'index': 8}, {'key': 'ne', 'value': 'h', 'index': 9}, {'key': 'bheja', 'value': 'h', 'index': 10}, {'key': ',', 'value': 'u', 'index': 11}, {'key': 'as', 'value': 'e', 'index': 12}, {'key': 'an', 'value': 'e', 'index': 13}, {'key': 'avtar', 'value': 'e', 'index': 14}, {'key': 'like', 'value': 'e', 'index': 15}, {'key': 'Lord', 'value': 'e', 'index': 16}, {'key': 'Krishna', 'value': 'e', 'index': 17}, {'key': 'and', 'value': 'e', 'index': 18}, {'key': 'Ram', 'value': 'e', 'index': 19}, {'key': ',', 'value': 'u', 'index': 20}, {'key': 'desh', 'value': 'h', 'index': 21}, {'key': 'ke', 'value': 'h', 'index': 22}, {'key': 'Kalman', 'value': 'h', 'index': 23}, {'key': 'ke', 'value': 'h', 'index': 24}, {'key': 'liye', 'value': 'h', 'index': 25}, {'key': '.', 'value': 'u', 'index': 26}, {'key': 'Soaoso', 'value': 'h', 'index': 27}, {'key': 'crore', 'value': 'e', 'index': 28}, {'key': 'desh', 'value': 'h', 'index': 29}, {'key': 'bashio', 'value': 'h', 'index': 30}, {'key': 'ki', 'value': 'h', 'index': 31}, {'key': 'umid', 'value': 'h', 'index': 32}, {'key': 'iss', 'value': 'h', 'index': 33}, {'key': 'jit', 'value': 'h', 'index': 34}, {'key': 'se', 'value': 'h', 'index': 35}, {'key': 'Jura', 'value': 'h', 'index': 36}, {'key': 'hay', 'value': 'h', 'index': 37}, {'key': ',', 'value': 'u', 'index': 38}, {'key': '2050', 'value': 'e', 'index': 39}, {'key': 'tak', 'value': 'h', 'index': 40}, {'key': 'desh', 'value': 'h', 'index': 41}, {'key': 'will', 'value': 'e', 'index': 42}, {'key': 'be', 'value': 'e', 'index': 43}, {'key': 'world', 'value': 'e', 'index': 44}, {'key': 'Top', 'value': 'e', 'index': 45}, {'key': 'in', 'value': 'e', 'index': 46}, {'key': 'position', 'value': 'e', 'index': 47}, {'key': '.', 'value': 'u', 'index': 48}]",[],[],1.492,45.238095238095234
pranav,h,2022-07-29T12:18:57.347Z,"[{'key': '@SrBachchan', 'value': 'e', 'index': 0}, {'key': 'Sir', 'value': 'e', 'index': 1}, {'key': '!', 'value': 'u', 'index': 2}, {'key': 'Remember', 'value': 'e', 'index': 3}, {'key': '..', 'value': 'u', 'index': 4}, {'key': '“Pistol', 'value': 'e', 'index': 5}, {'key': 'Maine', 'value': 'u', 'index': 6}, {'key': 'pehli', 'value': 'h', 'index': 7}, {'key': 'baar', 'value': 'h', 'index': 8}, {'key': 'uthaya', 'value': 'h', 'index': 9}, {'key': 'hai', 'value': 'h', 'index': 10}, {'key': ',', 'value': 'u', 'index': 11}, {'key': 'magar', 'value': 'h', 'index': 12}, {'key': 'yeh', 'value': 'h', 'index': 13}, {'key': 'jaanata', 'value': 'h', 'index': 14}, {'key': 'hoon', 'value': 'h', 'index': 15}, {'key': 'ki', 'value': 'h', 'index': 16}, {'key': 'a', 'value': 'e', 'index': 17}, {'key': 'Trigger', 'value': 'e', 'index': 18}, {'key': 'dabaane', 'value': 'u', 'index': 19}, {'key': 'se', 'value': 'u', 'index': 20}, {'key': 'goli', 'value': 'h', 'index': 21}, {'key': 'chalti', 'value': 'h', 'index': 22}, {'key': 'hai”', 'value': 'u', 'index': 23}, {'key': '#whatgreatlines', 'value': 'e', 'index': 24}]",[],['#whatgreatlines'],21.655,38.888888888888886
