grammar,date,tag,link,hashtag,time,CMI Score
h,2022-07-29T12:18:57.347Z,"[{'key': '@SrBachchan', 'value': 'e', 'index': 0}, {'key': 'Sir', 'value': 'e', 'index': 1}, {'key': '!', 'value': 'u', 'index': 2}, {'key': 'Remember', 'value': 'e', 'index': 3}, {'key': '..', 'value': 'u', 'index': 4}, {'key': '“Pistol', 'value': 'e', 'index': 5}, {'key': 'Maine', 'value': 'u', 'index': 6}, {'key': 'pehli', 'value': 'h', 'index': 7}, {'key': 'baar', 'value': 'h', 'index': 8}, {'key': 'uthaya', 'value': 'h', 'index': 9}, {'key': 'hai', 'value': 'h', 'index': 10}, {'key': ',', 'value': 'u', 'index': 11}, {'key': 'magar', 'value': 'h', 'index': 12}, {'key': 'yeh', 'value': 'h', 'index': 13}, {'key': 'jaanata', 'value': 'h', 'index': 14}, {'key': 'hoon', 'value': 'h', 'index': 15}, {'key': 'ki', 'value': 'h', 'index': 16}, {'key': 'a', 'value': 'e', 'index': 17}, {'key': 'Trigger', 'value': 'e', 'index': 18}, {'key': 'dabaane', 'value': 'u', 'index': 19}, {'key': 'se', 'value': 'u', 'index': 20}, {'key': 'goli', 'value': 'h', 'index': 21}, {'key': 'chalti', 'value': 'h', 'index': 22}, {'key': 'hai”', 'value': 'u', 'index': 23}, {'key': '#whatgreatlines', 'value': 'e', 'index': 24}]",[],['#whatgreatlines'],21.655,100.0
e,2022-07-29T12:22:30.489Z,"[{'key': '@Mahendr83278547', 'value': 'e', 'index': 0}, {'key': '@IndiaToday', 'value': 'e', 'index': 1}, {'key': 'Teri', 'value': 'h', 'index': 2}, {'key': 'kimat', 'value': 'h', 'index': 3}, {'key': 'dokodi', 'value': 'h', 'index': 4}, {'key': 'ki', 'value': 'h', 'index': 5}, {'key': 'ho', 'value': 'u', 'index': 6}, {'key': 'gayi', 'value': 'h', 'index': 7}, {'key': '...', 'value': 'u', 'index': 8}, {'key': 'amit', 'value': 'e', 'index': 9}, {'key': 'shah', 'value': 'e', 'index': 10}, {'key': 'will', 'value': 'e', 'index': 11}, {'key': 'capture', 'value': 'e', 'index': 12}, {'key': 'telegana', 'value': 'e', 'index': 13}, {'key': 'soon', 'value': 'e', 'index': 14}, {'key': '...', 'value': 'u', 'index': 15}, {'key': 'kcr', 'value': 'e', 'index': 16}, {'key': 'will', 'value': 'e', 'index': 17}, {'key': 'resign', 'value': 'e', 'index': 18}, {'key': '...', 'value': 'u', 'index': 19}]",[],[],32.107,100.0
h,2022-07-29T12:23:52.569Z,"[{'key': '@ImkHimansh', 'value': 'e', 'index': 0}, {'key': '@thakur', 'value': 'e', 'index': 1}, {'key': 'I', 'value': 'e', 'index': 2}, {'key': 'will', 'value': 'e', 'index': 3}, {'key': 'say', 'value': 'e', 'index': 4}, {'key': 'it', 'value': 'e', 'index': 5}, {'key': 'better', 'value': 'e', 'index': 6}, {'key': '..', 'value': 'u', 'index': 7}, {'key': 'jb', 'value': 'h', 'index': 8}, {'key': 'ek', 'value': 'h', 'index': 9}, {'key': 'Constitutional', 'value': 'e', 'index': 10}, {'key': 'CM', 'value': 'e', 'index': 11}, {'key': 'ek', 'value': 'h', 'index': 12}, {'key': 'Rapist', 'value': 'e', 'index': 13}, {'key': 'Baba', 'value': 'h', 'index': 14}, {'key': 'ka', 'value': 'h', 'index': 15}, {'key': 'support', 'value': 'e', 'index': 16}, {'key': 'leta', 'value': 'h', 'index': 17}, {'key': 'h', 'value': 'h', 'index': 18}, {'key': 'usse', 'value': 'h', 'index': 19}, {'key': '....', 'value': 'u', 'index': 20}, {'key': 'Sorry', 'value': 'e', 'index': 21}, {'key': 'ye', 'value': 'h', 'index': 22}, {'key': 'toh', 'value': 'h', 'index': 23}, {'key': 'BJP', 'value': 'e', 'index': 24}, {'key': 'aur', 'value': 'h', 'index': 25}, {'key': 'inke', 'value': 'h', 'index': 26}, {'key': 'jaisi', 'value': 'h', 'index': 27}, {'key': 'bhot', 'value': 'h', 'index': 28}, {'key': 'sari', 'value': 'h', 'index': 29}, {'key': 'political', 'value': 'e', 'index': 30}, {'key': 'party', 'value': 'e', 'index': 31}, {'key': 'ki', 'value': 'h', 'index': 32}, {'key': 'dukhti', 'value': 'h', 'index': 33}, {'key': 'nabj', 'value': 'h', 'index': 34}, {'key': 'h', 'value': 'h', 'index': 35}]",[],[],3.403,100.0
h,2022-07-29T12:25:05.047Z,"[{'key': 'Sehwag', 'value': 'e', 'index': 0}, {'key': 'sir', 'value': 'e', 'index': 1}, {'key': 'said', 'value': 'e', 'index': 2}, {'key': 'India', 'value': 'e', 'index': 3}, {'key': 'and', 'value': 'e', 'index': 4}, {'key': 'Newzealand', 'value': 'e', 'index': 5}, {'key': 'mein', 'value': 'h', 'index': 6}, {'key': 'semiFinal', 'value': 'e', 'index': 7}, {'key': 'ho', 'value': 'h', 'index': 8}, {'key': 'jaayega', 'value': 'h', 'index': 9}, {'key': 'toh', 'value': 'h', 'index': 10}, {'key': 'India', 'value': 'e', 'index': 11}, {'key': 'jeetegi', 'value': 'h', 'index': 12}, {'key': 'par', 'value': 'h', 'index': 13}, {'key': 'sir', 'value': 'e', 'index': 14}, {'key': 'India', 'value': 'e', 'index': 15}, {'key': 'worldcup', 'value': 'e', 'index': 16}, {'key': 'mein', 'value': 'h', 'index': 17}, {'key': 'kabhi', 'value': 'h', 'index': 18}, {'key': 'Nz', 'value': 'e', 'index': 19}, {'key': 'se', 'value': 'h', 'index': 20}, {'key': 'nhi', 'value': 'h', 'index': 21}, {'key': 'jeeti', 'value': 'h', 'index': 22}, {'key': '#Askstar', 'value': 'e', 'index': 23}, {'key': '#StarSports', 'value': 'e', 'index': 24}, {'key': '#sehwag', 'value': 'e', 'index': 25}, {'key': '@virendersehwag', 'value': 'e', 'index': 26}, {'key': '@harbhajan_singh', 'value': 'e', 'index': 27}]",[],"['#Askstar', '#StarSports', '#sehwag']",7.544,100.0
e,2022-07-29T12:28:51.675Z,"[{'key': '@arvindgunasekar', 'value': 'e', 'index': 0}, {'key': 'Hehe', 'value': 'e', 'index': 1}, {'key': '.....', 'value': 'u', 'index': 2}, {'key': 'hope', 'value': 'e', 'index': 3}, {'key': 'is', 'value': 'e', 'index': 4}, {'key': 'what', 'value': 'e', 'index': 5}, {'key': 'keeps', 'value': 'e', 'index': 6}, {'key': 'world', 'value': 'e', 'index': 7}, {'key': 'alive', 'value': 'e', 'index': 8}, {'key': '.', 'value': 'u', 'index': 9}, {'key': 'Use', 'value': 'h', 'index': 10}, {'key': 'to', 'value': 'h', 'index': 11}, {'key': 'hum', 'value': 'h', 'index': 12}, {'key': 'song', 'value': 'e', 'index': 13}, {'key': 'from', 'value': 'e', 'index': 14}, {'key': 'all', 'value': 'e', 'index': 15}, {'key': 'time', 'value': 'e', 'index': 16}, {'key': 'classic', 'value': 'e', 'index': 17}, {'key': 'movie', 'value': 'e', 'index': 18}, {'key': '‘Jane', 'value': 'h', 'index': 19}, {'key': 'Bhi', 'value': 'h', 'index': 20}, {'key': 'Do', 'value': 'h', 'index': 21}, {'key': 'Yaro’,', 'value': 'h', 'index': 22}, {'key': '‘Hum', 'value': 'h', 'index': 23}, {'key': 'honge', 'value': 'h', 'index': 24}, {'key': 'kaamyaab', 'value': 'h', 'index': 25}, {'key': 'ek', 'value': 'h', 'index': 26}, {'key': 'din', 'value': 'h', 'index': 27}, {'key': '...', 'value': 'u', 'index': 28}, {'key': '’', 'value': 'u', 'index': 29}, {'key': 'in', 'value': 'e', 'index': 30}, {'key': 'my', 'value': 'e', 'index': 31}, {'key': 'childhood', 'value': 'e', 'index': 32}, {'key': '.', 'value': 'u', 'index': 33}, {'key': 'Still', 'value': 'e', 'index': 34}, {'key': 'do', 'value': 'u', 'index': 35}, {'key': '.', 'value': 'u', 'index': 36}]",[],[],6.266,100.0
h,2022-07-29T12:29:55.867Z,"[{'key': 'Start', 'value': 'e', 'index': 0}, {'key': 'journey', 'value': 'e', 'index': 1}, {'key': 'MODI', 'value': 'e', 'index': 2}, {'key': '2', 'value': 'u', 'index': 3}, {'key': '.', 'value': 'u', 'index': 4}, {'key': 'O', 'value': 'u', 'index': 5}, {'key': 'Best', 'value': 'e', 'index': 6}, {'key': 'of', 'value': 'e', 'index': 7}, {'key': 'luck', 'value': 'e', 'index': 8}, {'key': 'sir', 'value': 'e', 'index': 9}, {'key': 'plz', 'value': 'e', 'index': 10}, {'key': 'abki', 'value': 'h', 'index': 11}, {'key': 'bar', 'value': 'h', 'index': 12}, {'key': 'School', 'value': 'e', 'index': 13}, {'key': '(fees),', 'value': 'e', 'index': 14}, {'key': 'Hospital', 'value': 'e', 'index': 15}, {'key': '(Charges),', 'value': 'e', 'index': 16}, {'key': 'Sahara', 'value': 'h', 'index': 17}, {'key': 'India', 'value': 'e', 'index': 18}, {'key': '(payment', 'value': 'e', 'index': 19}, {'key': 'issue)', 'value': 'e', 'index': 20}, {'key': '#NarendraModi', 'value': 'e', 'index': 21}, {'key': '#sahara', 'value': 'h', 'index': 22}, {'key': '#subrotoray', 'value': 'e', 'index': 23}, {'key': '#cbse', 'value': 'e', 'index': 24}, {'key': '#aiims', 'value': 'e', 'index': 25}, {'key': '#Bjp', 'value': 'e', 'index': 26}, {'key': '#India', 'value': 'e', 'index': 27}, {'key': '#publicspeaking', 'value': 'e', 'index': 28}]",[],"['#NarendraModi', '#sahara', '#subrotoray', '#cbse', '#aiims', '#Bjp', '#India', '#publicspeaking']",4.304,100.0
e,2022-07-29T12:30:50.524Z,"[{'key': '#UnlockYourInnerPower', 'value': 'u', 'index': 0}, {'key': '@Gurmeetramrahim', 'value': 'e', 'index': 1}, {'key': 'Good', 'value': 'e', 'index': 2}, {'key': 'morning', 'value': 'e', 'index': 3}, {'key': 'guru', 'value': 'h', 'index': 4}, {'key': 'g', 'value': 'h', 'index': 5}, {'key': 'Bless', 'value': 'e', 'index': 6}, {'key': 'us', 'value': 'e', 'index': 7}, {'key': 'for', 'value': 'e', 'index': 8}, {'key': 'Sewa', 'value': 'h', 'index': 9}, {'key': 'Simran', 'value': 'h', 'index': 10}, {'key': 'and', 'value': 'e', 'index': 11}, {'key': 'Parmarth', 'value': 'h', 'index': 12}, {'key': 'Dhan', 'value': 'h', 'index': 13}, {'key': 'Dhan', 'value': 'h', 'index': 14}, {'key': 'Satguru', 'value': 'h', 'index': 15}, {'key': 'Tera', 'value': 'h', 'index': 16}, {'key': 'Hi', 'value': 'h', 'index': 17}, {'key': 'Aasra', 'value': 'h', 'index': 18}]",[],['#UnlockYourInnerPower'],1.012,100.0
e,2022-07-29T12:32:34.246Z,"[{'key': '@AskAnshul', 'value': 'e', 'index': 0}, {'key': ""'Jai"", 'value': 'h', 'index': 1}, {'key': 'Shri', 'value': 'h', 'index': 2}, {'key': ""Ram'"", 'value': 'h', 'index': 3}, {'key': 'is', 'value': 'e', 'index': 4}, {'key': 'slogan', 'value': 'e', 'index': 5}, {'key': 'of', 'value': 'e', 'index': 6}, {'key': 'Hooliganism', 'value': 'e', 'index': 7}, {'key': '.', 'value': 'u', 'index': 8}, {'key': 'But', 'value': 'e', 'index': 9}, {'key': ""'Kashmir"", 'value': 'e', 'index': 10}, {'key': 'mei', 'value': 'h', 'index': 11}, {'key': 'agar', 'value': 'h', 'index': 12}, {'key': 'rehna', 'value': 'h', 'index': 13}, {'key': 'hai', 'value': 'h', 'index': 14}, {'key': 'Allah-O-Akbar', 'value': 'h', 'index': 15}, {'key': 'kehna', 'value': 'h', 'index': 16}, {'key': ""hai'"", 'value': 'h', 'index': 17}, {'key': 'is', 'value': 'e', 'index': 18}, {'key': 'slogan', 'value': 'e', 'index': 19}, {'key': 'of', 'value': 'e', 'index': 20}, {'key': 'Revolution', 'value': 'e', 'index': 21}, {'key': '.', 'value': 'u', 'index': 22}]",[],[],9.397,100.0
e,2022-07-29T12:32:29.095Z,"[{'key': '@AskAnshul', 'value': 'e', 'index': 0}, {'key': ""'Jai"", 'value': 'h', 'index': 1}, {'key': 'Shri', 'value': 'h', 'index': 2}, {'key': ""Ram'"", 'value': 'h', 'index': 3}, {'key': 'is', 'value': 'e', 'index': 4}, {'key': 'slogan', 'value': 'e', 'index': 5}, {'key': 'of', 'value': 'e', 'index': 6}, {'key': 'Hooliganism', 'value': 'e', 'index': 7}, {'key': '.', 'value': 'u', 'index': 8}, {'key': 'But', 'value': 'e', 'index': 9}, {'key': ""'Kashmir"", 'value': 'e', 'index': 10}, {'key': 'mei', 'value': 'h', 'index': 11}, {'key': 'agar', 'value': 'h', 'index': 12}, {'key': 'rehna', 'value': 'h', 'index': 13}, {'key': 'hai', 'value': 'h', 'index': 14}, {'key': 'Allah-O-Akbar', 'value': 'h', 'index': 15}, {'key': 'kehna', 'value': 'h', 'index': 16}, {'key': ""hai'"", 'value': 'h', 'index': 17}, {'key': 'is', 'value': 'e', 'index': 18}, {'key': 'slogan', 'value': 'e', 'index': 19}, {'key': 'of', 'value': 'e', 'index': 20}, {'key': 'Revolution', 'value': 'e', 'index': 21}, {'key': '.', 'value': 'u', 'index': 22}]",[],[],4.246,100.0
h,2022-07-29T12:33:22.627Z,"[{'key': '@Outof_league', 'value': 'e', 'index': 0}, {'key': 'Nahi', 'value': 'h', 'index': 1}, {'key': 'bahan', 'value': 'h', 'index': 2}, {'key': 'ladkiyan', 'value': 'h', 'index': 3}, {'key': 'to', 'value': 'e', 'index': 4}, {'key': 'aajkal', 'value': 'h', 'index': 5}, {'key': ""Queen's"", 'value': 'e', 'index': 6}, {'key': 'life', 'value': 'e', 'index': 7}, {'key': 'ji', 'value': 'h', 'index': 8}, {'key': 'rahi', 'value': 'h', 'index': 9}, {'key': '.', 'value': 'u', 'index': 10}, {'key': 'Him', 'value': 'h', 'index': 11}, {'key': 'hi', 'value': 'h', 'index': 12}, {'key': 'log', 'value': 'h', 'index': 13}, {'key': 'bhikhari', 'value': 'h', 'index': 14}, {'key': 'ho', 'value': 'h', 'index': 15}, {'key': 'gaye', 'value': 'h', 'index': 16}, {'key': 'hain', 'value': 'h', 'index': 17}, {'key': '.', 'value': 'u', 'index': 18}]",[],[],2.688,100.0
h,2022-07-29T12:35:03.521Z,"[{'key': '@narendramodi', 'value': 'e', 'index': 0}, {'key': 'great', 'value': 'e', 'index': 1}, {'key': 'congratulations', 'value': 'e', 'index': 2}, {'key': 'Sir', 'value': 'e', 'index': 3}, {'key': ',', 'value': 'u', 'index': 4}, {'key': 'ap', 'value': 'h', 'index': 5}, {'key': 'ko', 'value': 'h', 'index': 6}, {'key': 'Bharat', 'value': 'h', 'index': 7}, {'key': 'Mata', 'value': 'h', 'index': 8}, {'key': 'ne', 'value': 'h', 'index': 9}, {'key': 'bheja', 'value': 'h', 'index': 10}, {'key': ',', 'value': 'u', 'index': 11}, {'key': 'as', 'value': 'e', 'index': 12}, {'key': 'an', 'value': 'e', 'index': 13}, {'key': 'avtar', 'value': 'e', 'index': 14}, {'key': 'like', 'value': 'e', 'index': 15}, {'key': 'Lord', 'value': 'h', 'index': 16}, {'key': 'Krishna', 'value': 'h', 'index': 17}, {'key': 'and', 'value': 'e', 'index': 18}, {'key': 'Ram', 'value': 'h', 'index': 19}, {'key': ',', 'value': 'u', 'index': 20}, {'key': 'desh', 'value': 'h', 'index': 21}, {'key': 'ke', 'value': 'h', 'index': 22}, {'key': 'Kalman', 'value': 'h', 'index': 23}, {'key': 'ke', 'value': 'h', 'index': 24}, {'key': 'liye', 'value': 'h', 'index': 25}, {'key': '.', 'value': 'u', 'index': 26}, {'key': 'Soaoso', 'value': 'h', 'index': 27}, {'key': 'crore', 'value': 'h', 'index': 28}, {'key': 'desh', 'value': 'h', 'index': 29}, {'key': 'bashio', 'value': 'h', 'index': 30}, {'key': 'ki', 'value': 'h', 'index': 31}, {'key': 'umid', 'value': 'h', 'index': 32}, {'key': 'iss', 'value': 'h', 'index': 33}, {'key': 'jit', 'value': 'h', 'index': 34}, {'key': 'se', 'value': 'h', 'index': 35}, {'key': 'Jura', 'value': 'h', 'index': 36}, {'key': 'hay', 'value': 'h', 'index': 37}, {'key': ',', 'value': 'u', 'index': 38}, {'key': '2050', 'value': 'u', 'index': 39}, {'key': 'tak', 'value': 'h', 'index': 40}, {'key': 'desh', 'value': 'h', 'index': 41}, {'key': 'will', 'value': 'e', 'index': 42}, {'key': 'be', 'value': 'e', 'index': 43}, {'key': 'world', 'value': 'e', 'index': 44}, {'key': 'Top', 'value': 'e', 'index': 45}, {'key': 'in', 'value': 'e', 'index': 46}, {'key': 'position', 'value': 'e', 'index': 47}, {'key': '.', 'value': 'u', 'index': 48}]",[],[],5.443,100.0
